wavelength (nm),intensity ((uW/cm^2)/nm)
345.346,0.009204873
345.638,0.099005799
345.929,0.022347772
346.220,0.120112505
346.511,0.08080571
346.802,0.09161834
347.093,0.089537203
347.385,0.096812475
347.676,0.094453316
347.967,0.102114076
348.258,0.098567979
348.549,0.101617814
348.840,0.099341288
349.131,0.099783758
349.422,0.096103307
349.713,0.099070563
350.004,0.095978257
350.295,0.094262495
350.586,0.093899256
350.877,0.095484829
351.167,0.098694037
351.458,0.104909085
351.749,0.10394526
352.040,0.106079862
352.331,0.102701451
352.621,0.106812656
352.912,0.102702296
353.203,0.105477889
353.494,0.105668159
353.784,0.111496958
354.075,0.108789692
354.366,0.112004755
354.656,0.105244205
354.947,0.104655187
355.238,0.103853445
355.528,0.104231608
355.819,0.103161805
356.109,0.107581539
356.400,0.104041689
356.690,0.10872248
356.981,0.110803812
357.271,0.114254197
357.562,0.110289472
357.852,0.111556546
358.142,0.106197503
358.433,0.111622246
358.723,0.113366164
359.014,0.111873379
359.304,0.114392564
359.594,0.114899843
359.885,0.112462922
360.175,0.116004605
360.465,0.113888987
360.755,0.116160635
361.045,0.118694917
361.336,0.121895268
361.626,0.122588015
361.916,0.126220522
362.206,0.120078805
362.496,0.119156364
362.786,0.11704901
363.076,0.118567072
363.366,0.119795496
363.656,0.12674611
363.946,0.129200272
364.236,0.134683629
364.526,0.132901753
364.816,0.129543315
365.106,0.131114551
365.396,0.133991425
365.686,0.140417291
365.976,0.145391601
366.266,0.146942893
366.556,0.153119301
366.846,0.145850172
367.135,0.148284799
367.425,0.140075102
367.715,0.139156674
368.005,0.140020258
368.294,0.14497765
368.584,0.144112079
368.874,0.144832796
369.163,0.138719699
369.453,0.138461337
369.743,0.139467774
370.032,0.136745608
370.322,0.134079564
370.611,0.140095355
370.901,0.141890067
371.190,0.146557635
371.480,0.148773013
371.769,0.147470716
372.059,0.140172853
372.348,0.148316689
372.638,0.148399411
372.927,0.159372267
373.216,0.155277548
373.506,0.160653602
373.795,0.164336294
374.084,0.158558408
374.374,0.152352962
374.663,0.158214454
374.952,0.152144671
375.242,0.149938581
375.531,0.138979395
375.820,0.147011763
376.109,0.143874049
376.398,0.149536764
376.687,0.141597186
376.977,0.149808136
377.266,0.148059342
377.555,0.144182467
377.844,0.151973458
378.133,0.158167392
378.422,0.146599207
378.711,0.152820801
379.000,0.148053975
379.289,0.158405355
379.578,0.154588026
379.867,0.151480529
380.156,0.145649983
380.444,0.146642209
380.733,0.143180512
381.022,0.13631493
381.311,0.133982149
381.600,0.133259933
381.889,0.131765256
382.177,0.132477592
382.466,0.132930813
382.755,0.134303041
383.043,0.134249514
383.332,0.128128744
383.621,0.130487784
383.909,0.128983133
384.198,0.127436456
384.487,0.122149964
384.775,0.120102651
385.064,0.126914641
385.352,0.121807794
385.641,0.122717357
385.929,0.126166061
386.218,0.125506766
386.506,0.126935769
386.795,0.130721651
387.083,0.130617155
387.372,0.124627211
387.660,0.124090904
387.948,0.125384136
388.237,0.121113577
388.525,0.123020924
388.813,0.115896177
389.101,0.114685222
389.390,0.10986614
389.678,0.107013147
389.966,0.098016044
390.254,0.098851982
390.543,0.091207967
390.831,0.094401872
391.119,0.095928999
391.407,0.093363557
391.695,0.096334944
391.983,0.09778537
392.271,0.098402046
392.559,0.099671567
392.847,0.101546661
393.135,0.104901708
393.423,0.098931331
393.711,0.107022198
393.999,0.105766577
394.287,0.105456906
394.575,0.101104557
394.863,0.101960881
395.151,0.10125017
395.438,0.10220578
395.726,0.102985198
396.014,0.101991094
396.302,0.100710526
396.589,0.098358779
396.877,0.097573045
397.165,0.100163476
397.453,0.092718614
397.740,0.092146397
398.028,0.089005923
398.315,0.089977455
398.603,0.087019186
398.891,0.090780099
399.178,0.08244473
399.466,0.079457977
399.753,0.081399543
400.041,0.080984351
400.328,0.081588965
400.616,0.078790969
400.903,0.079659616
401.191,0.083973316
401.478,0.07986087
401.765,0.083357969
402.053,0.084216763
402.340,0.085926282
402.627,0.079291165
402.915,0.081819155
403.202,0.079817324
403.489,0.080701255
403.776,0.078746538
404.064,0.07524499
404.351,0.07457986
404.638,0.076088876
404.925,0.072451674
405.212,0.072091917
