wavelength (nm),intensity ((uW/cm^2)/nm)
345.346,-0.031122094
345.638,0.046039434
345.929,-0.01529244
346.220,0.07311508
346.511,0.036764088
346.802,0.035313662
347.093,0.035498554
347.385,0.040737215
347.676,0.036600299
347.967,0.042413407
348.258,0.037468843
348.549,0.038902201
348.840,0.036604085
349.131,0.036052195
349.422,0.032988417
349.713,0.033927476
350.004,0.030485231
350.295,0.027619373
350.586,0.026474451
350.877,0.028224948
351.167,0.031287402
351.458,0.038465713
351.749,0.03636665
352.040,0.039341945
352.331,0.035214439
352.621,0.037684345
352.912,0.032915687
353.203,0.033209984
353.494,0.034455125
353.784,0.038258229
354.075,0.03417446
354.366,0.037309639
354.656,0.029700552
354.947,0.028160677
355.238,0.02561693
355.528,0.026380412
355.819,0.023303371
356.109,0.027924924
356.400,0.024237703
356.690,0.028532154
356.981,0.031327265
357.271,0.033502319
357.562,0.030679086
357.852,0.031382672
358.142,0.025810917
358.433,0.030839568
358.723,0.03258803
359.014,0.031149529
359.304,0.03268912
359.594,0.032146977
359.885,0.029486967
360.175,0.032420568
360.465,0.029522749
360.755,0.03016417
361.045,0.030936296
361.336,0.032676875
361.626,0.03201563
361.916,0.033048159
362.206,0.025705636
362.496,0.023456766
362.786,0.020989938
363.076,0.02146368
363.366,0.022535089
363.656,0.027193026
363.946,0.028766658
364.236,0.032966089
364.526,0.030163184
364.816,0.026444101
365.106,0.027196086
365.396,0.029159468
365.686,0.036264029
365.976,0.039918952
366.266,0.040980801
366.556,0.045040143
366.846,0.037437025
367.135,0.039120907
367.425,0.031770744
367.715,0.030909519
368.005,0.032764546
368.294,0.037573546
368.584,0.03667731
368.874,0.03580909
369.163,0.029648459
369.453,0.027308224
369.743,0.028603169
370.032,0.026025577
370.322,0.023658914
370.611,0.028886227
370.901,0.031330787
371.190,0.035465619
371.480,0.037472452
371.769,0.033642771
372.059,0.025877763
372.348,0.034464147
372.638,0.037408877
372.927,0.047886887
373.216,0.044778044
373.506,0.049629925
373.795,0.052008271
374.084,0.046891406
374.374,0.040392276
374.663,0.045128171
374.952,0.038842979
375.242,0.036313758
375.531,0.02688406
375.820,0.034121743
376.109,0.030935773
376.398,0.034931246
376.687,0.027731508
376.977,0.037548099
377.266,0.036469738
377.555,0.033012989
377.844,0.040055285
378.133,0.046129105
378.422,0.035482653
378.711,0.042955283
379.000,0.039244931
379.289,0.048839391
379.578,0.046977909
379.867,0.045376136
380.156,0.041870824
380.444,0.044852444
380.733,0.041570141
381.022,0.035782752
381.311,0.034658526
381.600,0.034065941
381.889,0.034982523
382.177,0.035305708
382.466,0.035942533
382.755,0.0374132
383.043,0.039714576
383.332,0.03503871
383.621,0.037220942
383.909,0.03572827
384.198,0.033948159
384.487,0.028914695
384.775,0.027832607
385.064,0.03618195
385.352,0.032773061
385.641,0.03355059
385.929,0.03895698
386.218,0.039513387
386.506,0.042035335
386.795,0.045298877
387.083,0.046160013
387.372,0.041323475
387.660,0.041547885
387.948,0.044194978
388.237,0.04152694
388.525,0.044370712
388.813,0.036928442
389.101,0.036962806
389.390,0.033646957
389.678,0.031450193
389.966,0.023794768
390.254,0.025450633
390.543,0.019946575
390.831,0.022719648
391.119,0.025112456
391.407,0.023241254
391.695,0.027188622
391.983,0.029342473
392.271,0.031328265
392.559,0.033941952
392.847,0.036392985
393.135,0.040145226
393.423,0.035899263
393.711,0.044297718
393.999,0.043681994
394.287,0.043617903
394.575,0.04085058
394.863,0.041998242
395.151,0.042236197
395.438,0.044250237
395.726,0.045446807
396.014,0.044105537
396.302,0.043212866
396.589,0.041523512
396.877,0.040600546
397.165,0.043352223
397.453,0.036749615
397.740,0.037035899
398.028,0.034434028
398.315,0.035516578
