wavelength (nm),intensity ((uW/cm^2)/nm)
345.346,-0.041591083
345.638,0.05283843
345.929,-0.021183645
346.220,0.065652894
346.511,0.018677806
346.802,0.03549292
347.093,0.02872013
347.385,0.034082562
347.676,0.029962171
347.967,0.035357999
348.258,0.030985747
348.549,0.033190973
348.840,0.02960845
349.131,0.029796011
349.422,0.026815138
349.713,0.027997731
350.004,0.025081771
350.295,0.020792219
350.586,0.019533782
350.877,0.019747005
351.167,0.022543117
351.458,0.027839068
351.749,0.0256689
352.040,0.027638798
352.331,0.023459152
352.621,0.02643571
352.912,0.021091867
353.203,0.021622338
353.494,0.021958357
353.784,0.025689314
354.075,0.022895098
354.366,0.026431724
354.656,0.019663103
354.947,0.017517868
355.238,0.015957401
355.528,0.015817463
355.819,0.01337659
356.109,0.018256743
356.400,0.015315659
356.690,0.019489726
356.981,0.02195161
357.271,0.02469655
357.562,0.02115813
357.852,0.020591394
358.142,0.013803206
358.433,0.017931032
358.723,0.019871923
359.014,0.017988766
359.304,0.020948642
359.594,0.01985769
359.885,0.015608208
360.175,0.017405522
360.465,0.014844653
360.755,0.014510482
361.045,0.014349925
361.336,0.016564447
361.626,0.016369627
361.916,0.017313252
362.206,0.010575075
362.496,0.008180576
362.786,0.005372954
363.076,0.005133346
363.366,0.006949802
363.656,0.012161069
363.946,0.012470129
364.236,0.016159199
364.526,0.013661324
364.816,0.009832976
365.106,0.009799866
365.396,0.011444887
365.686,0.018114754
365.976,0.02161504
366.266,0.02315406
366.556,0.027676324
366.846,0.019335045
367.135,0.020144131
367.425,0.013779005
367.715,0.013579417
368.005,0.015536452
368.294,0.021088984
368.584,0.020732017
368.874,0.020230286
369.163,0.01414467
369.453,0.013348423
369.743,0.013980795
370.032,0.010621928
370.322,0.007682775
370.611,0.013177699
370.901,0.01571696
371.190,0.018225116
371.480,0.020075673
371.769,0.015544432
372.059,0.007532612
372.348,0.015547547
372.638,0.017946572
372.927,0.028678083
373.216,0.025539504
373.506,0.030521456
373.795,0.034901825
374.084,0.028902901
374.374,0.023547463
374.663,0.02673323
374.952,0.021891143
375.242,0.020047194
375.531,0.010702517
375.820,0.019044201
376.109,0.017145466
376.398,0.022465182
376.687,0.01716414
376.977,0.026463509
377.266,0.025176229
377.555,0.020520242
377.844,0.02897118
378.133,0.034521911
378.422,0.025899041
378.711,0.032066976
379.000,0.028935195
379.289,0.038911781
379.578,0.03540812
379.867,0.032223875
380.156,0.027951712
380.444,0.028159754
380.733,0.025563505
381.022,0.019414239
381.311,0.017921074
381.600,0.016239148
381.889,0.016866427
382.177,0.016703211
382.466,0.018155982
382.755,0.018523322
383.043,0.020932563
383.332,0.015007596
383.621,0.018510057
383.909,0.01601976
384.198,0.015727494
384.487,0.009190691
384.775,0.00874383
385.064,0.01710214
385.352,0.013505364
385.641,0.014164006
385.929,0.019455993
386.218,0.019608796
386.506,0.021529585
386.795,0.025179345
387.083,0.027496765
387.372,0.022017294
387.660,0.023088799
387.948,0.025229598
388.237,0.023534598
388.525,0.026364993
388.813,0.019389007
389.101,0.019621171
389.390,0.016863175
389.678,0.013719451
389.966,0.006568481
390.254,0.008631637
390.543,0.003143411
390.831,0.006271185
391.119,0.009040263
391.407,0.007722889
391.695,0.012229518
391.983,0.013870743
392.271,0.015588641
392.559,0.01806868
392.847,0.020359371
393.135,0.024007407
393.423,0.02075625
393.711,0.028709407
393.999,0.028635917
394.287,0.028890703
394.575,0.026415533
394.863,0.027443839
395.151,0.027344276
395.438,0.028544089
395.726,0.029915855
396.014,0.02966418
396.302,0.029126552
396.589,0.027658487
396.877,0.026441085
397.165,0.029726669
397.453,0.02287108
397.740,0.022497709
398.028,0.019245577
398.315,0.019865108
398.603,0.017799328
398.891,0.021508503
399.178,0.014523595
399.466,0.012280383
399.753,0.014736618
400.041,0.013622767
400.328,0.015521919
400.616,0.014393848
400.903,0.014959851
401.191,0.018995849
401.478,0.016519565
401.765,0.020105467
402.053,0.021704354
402.340,0.023179592
402.627,0.017221469
402.915,0.019512193
403.202,0.018501926
403.489,0.018571953
403.776,0.017211959
404.064,0.012268673
404.351,0.010877378
404.638,0.011988979
404.925,0.00945705
405.212,0.008232232
405.499,0.003972566
405.786,0.003909376
406.073,0.001425876
406.360,0.008544239
406.647,0.008309342
406.935,0.010873695
407.221,0.009407017
407.508,0.013039406
407.795,0.011881464
408.082,0.014121687
408.369,0.01131028
408.656,0.016636027
408.943,0.0163207
409.230,0.020668129
409.517,0.022512427
409.803,0.026060869
410.090,0.023757304
410.377,0.025607715
410.664,0.023604602
410.950,0.020921565
411.237,0.019566979
411.524,0.020716028
411.810,0.022311263
